file,perplexity
IMGPR_plasmid_2030936005_000051,2.840969
IMGPR_plasmid_2044078007_000006,2.7851312
IMGPR_plasmid_2061766007_000227,2.682307
IMGPR_plasmid_2065487008_000005,1.8983427
IMGPR_plasmid_2081372012_000019,2.664955
IMGPR_plasmid_2081372012_000024,1.795798
IMGPR_plasmid_2124908010_000007,2.838241
IMGPR_plasmid_2140918025_000010,2.2761712
IMGPR_plasmid_2149837007_000050,3.1883817
IMGPR_plasmid_2166559006_000002,2.5826054
IMGPR_plasmid_2199352012_000126,1.7161669
IMGPR_plasmid_2199352012_000215,2.3906355
IMGPR_plasmid_2199352023_000008,1.991728
IMGPR_plasmid_2199352024_000001,2.7271707
IMGPR_plasmid_2209111003_000008,1.9914201
IMGPR_plasmid_2209111007_000001,2.460783
IMGPR_plasmid_2225789004_000010,2.4290822
IMGPR_plasmid_2236876025_000004,2.3778307
IMGPR_plasmid_2236876025_000018,2.2799623
IMGPR_plasmid_2236876025_000024,2.1341689
IMGPR_plasmid_2264867016_000001,3.123105
IMGPR_plasmid_2501025504_000001,2.4202151
IMGPR_plasmid_2504643013_000006,2.8146257
IMGPR_plasmid_2505119015_000001,3.3017173
IMGPR_plasmid_2505119044_000009,2.7034461
IMGPR_plasmid_2505313053_000011,2.6258383
IMGPR_plasmid_2505313058_000002,2.0722418
IMGPR_plasmid_2505679030_000002,3.1003637
IMGPR_plasmid_2505679050_000003,2.2416632
IMGPR_plasmid_2505679051_000001,2.9241095
IMGPR_plasmid_2507262023_000001,1.318082
IMGPR_plasmid_2508501123_000003,2.3052866
IMGPR_plasmid_2510065088_000001,1.7605344
IMGPR_plasmid_2511231032_000001,2.4870043
IMGPR_plasmid_2511231103_000014,2.9064982
IMGPR_plasmid_2512875023_000001,2.1780784
IMGPR_plasmid_2513020032_000001,2.2888288
IMGPR_plasmid_2513237087_000010,2.7088733
IMGPR_plasmid_2513237090_000006,2.518647
IMGPR_plasmid_2513237101_000011,2.1175687
IMGPR_plasmid_2513237103_000013,2.5145617
IMGPR_plasmid_2513237138_000020,2.3175273
IMGPR_plasmid_2513237140_000037,2.4249008
IMGPR_plasmid_2513237160_000016,2.215123
IMGPR_plasmid_2513237191_000006,2.9921856
IMGPR_plasmid_2513237291_000001,2.360762
IMGPR_plasmid_2513237303_000002,2.072957
IMGPR_plasmid_2513237322_000003,2.993242
