file,perplexity
AB700659.1,3.5203621
AB700660.1,3.5310423
AB700661.1,3.5145597
AB860125.1,3.1274326
AB860126.1,3.1591127
AJ270565.1,3.4653804
AJ270569.1,3.446668
AJ270572.1,3.4777164
AJ270573.1,3.4648092
GU057918.1,3.4720497
GU057920.1,3.465156
GU057921.1,3.4615798
GU057922.1,3.4710674
GU057924.1,3.4665787
GU057928.1,3.4717948
GU057929.1,3.4678044
GU057931.1,3.4736798
GU057934.1,3.4739175
GU057936.1,3.4695837
GU057941.1,3.4715962
GU057942.1,3.4708295
GU057944.1,3.4809783
GU057945.1,3.466555
GU057947.1,3.467072
GU057953.1,3.466775
GU057956.1,3.4706717
GU057958.1,3.468469
GU057962.1,3.4739816
GU057964.1,3.4554467
GU057966.1,3.4714384
GU057967.1,3.4692543
GU057968.1,3.4596038
GU057973.1,3.467384
GU057978.1,3.4699674
GU057979.1,3.463539
GU937116.1,3.32259
GU937117.1,3.3465703
GU937118.1,3.3462756
GU937119.1,3.3623385
GU937120.1,3.3445296
GU937121.1,3.338054
GU937124.1,3.3404813
GU937125.1,3.3589857
GU937126.1,3.3431947
GU937128.1,3.3402765
GU937129.1,3.4114265
GU937130.1,3.3637586
GU937132.1,3.3333402
GU937133.1,3.3394477
GU937134.1,3.3629882
GU937135.1,3.331799
GU937136.1,3.3553717
GU937137.1,3.338437
GU937138.1,3.3496451
GU937139.1,3.3662853
GU937141.1,3.326516
GU937142.1,3.3390348
GU937143.1,3.3374279
GU937144.1,3.3391418
GU937145.1,3.337788
GU937146.1,3.3381512
GU937147.1,3.3404782
GU937148.1,3.3453166
GU937149.1,3.3546991
GU937151.1,3.340371
GU937153.1,3.352783
GU937154.1,3.3370137
GU937158.1,3.3351998
GU937159.1,3.3345578
GU937162.1,3.3470092
GU937163.1,3.3555405
GU937165.1,3.358985
GU937166.1,3.3321784
GU937167.1,3.3614492
GU937168.1,3.3363428
GU937169.1,3.338277
GU937171.1,3.3278768
GU937172.1,3.3558822
GU937173.1,3.3533344
GU937175.1,3.365678
GU937176.1,3.345102
GU937177.1,3.3385904
GU937178.1,3.347279
GU937180.1,3.3469267
GU937182.1,3.341554
GU937183.1,3.3481996
GU937185.1,3.323004
GU937187.1,3.337433
GU937188.1,3.3441453
GU937189.1,3.3521175
GU937191.1,3.3279657
GU937193.1,3.3444414
GU937195.1,3.3633
GU937196.1,3.3353074
GU937204.1,3.3481624
GU937208.1,3.3471513
GU937209.1,3.3478065
GU937210.1,3.3404832
GU937212.1,3.3289497
GU937216.1,3.3279185
GU937217.1,3.3695743
GU937220.1,3.3543096
GU937223.1,3.3302982
GU937224.1,3.318229
GU937226.1,3.4913397
GU979891.1,3.349133
GU979892.1,3.3449583
GU979895.1,3.353793
GU979898.1,3.0054219
GU979899.1,3.0196967
GU979900.1,3.0127475
GU979901.1,3.0169163
GU979902.1,3.0328367
GU979903.1,3.0238385
HM011303.1,3.2004292
HM011305.1,3.2047634
HM011308.1,3.2025404
HM011309.1,3.1972747
HM011310.1,3.2011514
HM011311.1,3.2004561
HM011312.1,3.1993923
HM011313.1,3.198243
HM011315.1,3.2125075
HM011316.1,3.2112987
HM011317.1,3.2088404
HM011319.1,3.2049427
HM011320.1,3.2003186
HM011321.1,3.203143
HM011323.1,3.2017415
HM011325.1,3.2067778
HM011326.1,3.2032716
HM011327.1,3.1994252
HM011329.1,3.2044976
HM011330.1,3.205528
HM011331.1,3.2034113
HM011332.1,3.2032142
HM011333.1,3.2035675
HM011335.1,3.2064342
HM011336.1,3.2048845
HM011337.1,3.2028725
HM011339.1,3.2026355
HM011340.1,3.2022774
HM011341.1,3.2026787
HM011342.1,3.2051523
HM011343.1,3.2011607
HM011344.1,3.2056847
HM011345.1,3.1989038
HM011346.1,3.2054348
HM011347.1,3.209693
HM011348.1,3.201774
HM011351.1,3.2080905
HM011352.1,3.2001975
HM011354.1,3.2039394
HM011355.1,3.2116342
HM011356.1,3.2025735
HM011359.1,3.2082438
HM011362.1,3.201851
HM011365.1,3.2058353
HM011367.1,3.451566
HM011368.1,3.4487803
HM011369.1,3.447304
HM011370.1,3.4555233
HM011371.1,3.4448047
HM011372.1,3.4533398
HM011373.1,3.4513125
HM011374.1,3.45172
HM011375.1,3.4540048
HM011376.1,3.4510753
HM011377.1,3.4429433
HM011378.1,3.444765
HM011379.1,3.4437096
HM011380.1,3.452669
HM011382.1,3.4494174
HM011384.1,3.4588516
HM011385.1,3.455435
HM011386.1,3.4480557
HM011387.1,3.446312
HM011389.1,3.4519577
HM011390.1,3.4505541
HM011392.1,3.445434
HM011393.1,3.4552839
HM011395.1,3.4482846
HM011397.1,3.45921
HM011398.1,3.4492643
HM011399.1,3.4567895
HM011400.1,3.440488
HM011401.1,3.449152
HM011405.1,3.4477062
HM011407.1,3.4427648
HM011408.1,3.4522948
HM011409.1,3.446612
HM011411.1,3.4508777
HM011413.1,3.4562957
HM011415.1,3.450093
HM011418.1,3.4471467
HM011419.1,3.455033
HM011422.1,3.4426193
HM011423.1,3.4449906
HM011426.1,3.448746
HM011427.1,3.460348
HM011428.1,3.4579701
HQ123063.1,3.4665709
HQ123064.1,3.4660006
HQ123069.1,3.4729521
HQ123070.1,3.4743524
HQ123071.1,3.4591556
HQ123074.1,3.4693737
HQ123076.1,3.4769711
HQ123083.1,3.5129278
HQ123085.1,3.4573011
HQ123105.1,2.947209
HQ123106.1,2.9372132
HQ123107.1,2.9567244
HQ123108.1,2.930291
HQ123109.1,2.9484227
HQ123112.1,2.9497266
HQ123114.1,2.9437225
HQ123117.1,2.9362054
HQ123119.1,2.9513826
HQ123120.1,2.937081
HQ123121.1,2.940821
HQ123122.1,2.9338467
HQ123124.1,2.9445782
HQ123125.1,2.9397392
HQ123126.1,2.9449127
HQ123127.1,2.9592981
HQ123129.1,2.94032
HQ123130.1,3.4803252
HQ123131.1,3.479021
HQ123132.1,3.4761925
HQ123134.1,3.498415
HQ123135.1,3.4895513
HQ123137.1,3.4768267
HQ123138.1,3.5175385
HQ123139.1,3.5165894
HQ123141.1,3.532903
HQ123143.1,3.474271
HQ123165.1,2.9418573
