#Accession,SRA_Accession,Submitters,Release_Date,Strain,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
NC_009333.1,,"Rezaee,S.A., Cunningham,C., Davison,A.J., Blackbourn,D.J., Glenn,M., Rainbow,L., Aurade,F., Davison,A., Schulz,T.F., Glenn,M.A.",2007-04-03,GK18,,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,137969,RefSeq,complete,,,2.0,Greece,,Homo sapiens,,,,"Human herpesvirus 8 strain GK18, complete genome"
NC_009334.1,,"Dolan,A., Addison,C., Gatherer,D., Davison,A.J., McGeoch,D.J., Rickinson,A.B.",2007-04-03,AG876,,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,172764,RefSeq,complete,,,1.0,,,Homo sapiens,,,,"Human herpesvirus 4, complete genome"
NC_007605.1,,"de Jesus,O., Smith,P.R., Spender,L.C., Elgueta Karstegl,C., Niller,H.H., Huang,D., Farrell,P.J., Parker,B.D., Bankier,A., Satchwell,S., Barrell,B., Hatfull,G., Bankier,A.T., Barrell,B.G., Baer,R., Biggin,M.D., Deininger,P.L., Gibson,T.J., Hudson,G.S., Satchwell,S.C., Seguin,C., Tuffnell,P.S., Jones,M.D., Foster,L., Sheedy,T., Griffin,B.E., Jeang,K.T., Hayward,S.D., Davison,A.J.",2005-11-17,B95-8,,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,171823,RefSeq,complete,,,6.0,,,Homo sapiens,,,,"Human gammaherpesvirus 4, complete genome"
NC_006273.2,,"Gatherer,D., Seirafian,S., Cunningham,C., Holton,M., Dargan,D.J., Baluchova,K., Hector,R.D., Galbraith,J., Herzyk,P., Wilkinson,G.W., Davison,A.J., Dolan,A., Hassan-Walker,A.F., Lee,L., Addison,C., McGeoch,D.J., Emery,V.C., Griffiths,P.D., Sinzger,C., McSharry,B.P., Tomasec,P., Neale,M.L., Akter,P., Wilkie,G.S., Stanton,R.J., Wilkinson,G.W.G.",2004-09-16,Merlin,,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,235646,RefSeq,complete,,,5.0,United Kingdom: Cardiff,,Homo sapiens,urine,1999,,"Human herpesvirus 5 strain Merlin, complete genome"
NC_000898.1,,"Dominguez,G., Dambaugh,T.R., Stamey,F.R., Dewhurst,S., Inoue,N., Pellett,P.E., Lindquester,G.J., Greenamoyer,C.A., Anton,E.D., O'Brian,J.J., Allen,R.D., Castelli,J.W., Danovich,R.M., Frenkel,N., Black,J.B., Sanchez-Martinez,D., Anton,E., Greenamoyer,C.",1999-08-16,Z29,,Roseolovirus humanbeta6b,Roseolovirus,Orthoherpesviridae,dsDNA,162114,RefSeq,complete,,,6.0,Zaire,,Homo sapiens,blood,,,"Human herpesvirus 6B, complete genome"
NC_001716.2,,"Megaw,A.G., Rapaport,D., Avidor,B., Frenkel,N., Davison,A.J.",1995-12-29,RK,,Roseolovirus humanbeta7,Roseolovirus,Orthoherpesviridae,dsDNA,153080,RefSeq,complete,,,1.0,,,Homo sapiens,,,,"Human herpesvirus 7, complete genome"
NC_001664.4,,"Tweedy,J.G., Escriva,E., Topf,M., Gompels,U.A., Nicholas,J., Lawrence,G., Jones,M., Thomson,B.J., Martin,M.E., Efstathiou,S., Craxton,M., Macaulay,H.A., Weindler,F.W., Gray,D., Schwaab,V., Heilbronn,R., Inoue,N., Dambaugh,T.R., Rapp,J.C., Pellett,P.E., Dewhurst,S., Schiewe,U., Neipel,F., Schreiner,D., Fleckenstein,B., Thompson,J., Choudhury,S., Kashanchi,F., Doniger,J., Berneman,Z., Frenkel,N., Rosenthal,L.J., Zhou,Y., Chang,C.K., Qian,G., Chandran,B., Wood,C., Lawrence,G.L., Barrell,B.G., Dollard,S.C., Jones,M.D., Teo,I.A., Liu,D.X., Foa-Tomasi,L., Campadelli-Fiume,G., Lelliott,C., Sanchez-Martinez,D., Dominguez,G., Black,J.B., Anton,E., Greenamoyer,C., Pfeiffer,B., Berneman,Z.N., Tirwatnapong,S., Carrigan,D.R., Carss,A.L., Arno,J., Ellinger,K., Brown,C.M., Honess,R.W., Geng,Y.Q., Josephs,S.F., Sun,N., Arrand,J.R., Newman,C., Griffin,B.E., Balachandran,N., Craxton,M.A., Liu,M.Y., Littler,E., Teo,I., Chee,M., Chee,M.S.",1995-06-05,,U1102,Roseolovirus humanbeta6a,Roseolovirus,Orthoherpesviridae,dsDNA,159378,RefSeq,complete,,,31.0,Uganda,,Homo sapiens,,,,"Human betaherpesvirus 6A, variant A DNA, complete virion genome, isolate U1102"
NC_001348.1,,"Davison,A.J., Scott,J.E.",1987-09-19,Dumas,,Varicellovirus humanalpha3,Varicellovirus,Orthoherpesviridae,dsDNA,124884,RefSeq,complete,,,1.0,,,Homo sapiens,,,,"Human herpesvirus 3, complete genome"
OR134766.1,,"Liu,J., Che,H., Sia,Y.Y.",2025-07-17,,C17,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,166363,GenBank,complete,,,,France,,Homo sapiens,,2019-05-24,,"Human gammaherpesvirus 4 isolate C17, complete genome"
OR134767.1,,"Liu,J., Che,H., Sia,Y.Y.",2025-07-17,,C666-1,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,171946,GenBank,complete,,,,China,,Homo sapiens,,2012-04-04,,"Human gammaherpesvirus 4 isolate C666-1, complete genome"
